sentence_1;sentence_2;similarity_score
Human healthcare services;Providing information relating to dietary and nutritional guidance;1.0
Accumulators, electric;Apparatus and instruments for accumulating and storing electricity;1.0
Batteries, electric;Apparatus and instruments for accumulating and storing electricity;1.0
Traffic information;Sending of emergency messages for travellers [by electronic means];1.0
Galvanic batteries;Apparatus and instruments for accumulating and storing electricity;1.0
Anode batteries;Apparatus and instruments for accumulating and storing electricity;1.0
Solar batteries;Apparatus and instruments for accumulating and storing electricity;1.0
Galvanic cells;Apparatus and instruments for accumulating and storing electricity;1.0
Teaching;Conducting guided tours of cultural sites for educational purposes;1.0
Organisation of live performances;Booking of performing artists for events (services of a promoter);1.0
Vermin destroying preparations;Chemical preparations for treating diseases affecting vine plants;1.0
Adhesives for use in industry;Gums [adhesives], other than for stationery or household purposes;1.0
Telecommunication services;Transmission of information by electronic communications networks;1.0
Human healthcare services;Laboratory analysis services relating to the treatment of persons;1.0
Industrial chemicals;Moistening [wetting] preparations for use in the textile industry;1.0
Marketing campaigns;Presentation of goods on communication media, for retail purposes;1.0
Transport;Arranging transportation of passengers by road, rail, air and sea;1.0
Navigation apparatus for vehicles [on-board computers];Navigation, guidance, tracking, targeting and map making devices;1.0
Satellite navigational apparatus;Navigation, guidance, tracking, targeting and map making devices;1.0
Telecommunication services;Electronic bulletin board services [telecommunications services];1.0
Data processing equipment;Navigation, guidance, tracking, targeting and map making devices;1.0
Publishing and reporting;Publication of printed matter in electronic form on the Internet;1.0
Entertainment services;Entertainment services in the form of musical group performances;1.0
Hand tools and implements [hand-operated];Cutting tools bits end mills drills taps all being handoperated;1.0
Dissemination of advertising matter;Distribution of advertising, marketing and promotional material;1.0
Advertising by mail order;Distribution of advertising, marketing and promotional material;1.0
Direct mail advertising;Distribution of advertising, marketing and promotional material;1.0
Distribution of samples;Distribution of advertising, marketing and promotional material;1.0
Travel arrangement;Coordinating travel arrangements for individuals and for groups;1.0
Metal hardware;Architectural hardware made of common metals and alloys thereof;1.0
Advertising;Distribution of advertising, marketing and promotional material;1.0
Services for providing food and drink;Takeaway and home delivery services relating to food and drink;1.0
Adhesives for use in industry;Gluten [glue], other than for stationery or household purposes;1.0
Articles for use with tobacco;Electronic cigarettes as substitute for traditional cigarettes;1.0
Telecommunication services;Providing telecommunication channels for teleshopping services;1.0
Music publishing services;Publishing services (including electronic publishing services);1.0
Publishing and reporting;News programming services for transmission across the internet;1.0
Publishing and reporting;Publication of newspapers, periodicals, catalogs and brochures;1.0
Publishing and reporting;Publishing services (including electronic publishing services);1.0
Raw fibrous textile;Padding materials, not of rubber, plastics, paper or cardboard;1.0
Teaching;Arranging and conducting of meetings in the field of education;1.0
Organization of exhibitions for cultural or educational purposes;Arranging of exhibitions for cultural or educational purposes;1.0
Chronographs [time recording apparatus];Time measuring instruments (not including clocks and watches);1.0
Human healthcare services;Health care in the nature of health maintenance organizations;1.0
Human healthcare services;Providing information about dietary supplements and nutrition;1.0
Human healthcare services;Providing online medical record services other than dentistry;1.0
Measuring apparatus;Electric motor checking [monitoring or supervision] apparatus;1.0
Message sending;Electronic transmission of news information data of all kinds;1.0
Parking meters;Time measuring instruments (not including clocks and watches);1.0
Teaching;Training relating to computer software and computer databases;1.0
Organization of sports events with respect to running competitions;Organisation of sportive events relating to running contests;1.0
Business consultancy and advisory services;Benchmarking (evaluation of business organisation practices);1.0
Parts and fittings for vehicles;Powertrains, including engines and motors, for land vehicles;1.0
Human healthcare services;Development of individual physical rehabilitation programmes;1.0
Medical services;Medical treatment services provided by clinics and hospitals;1.0
Advertising;Promoting the goods and services of others over the Internet;1.0
Jewellery;Decorative articles [trinkets or jewellery] for personal use;1.0
Business consultancy and advisory services;Business management and enterprise organization consultancy;1.0
Smoothing preparations [starching];Bleaching preparations and other substances for laundry use;1.0
Chemicals for use in agriculture;Growth promoters [other than for medical or veterinary use];1.0
Human hygiene and beauty care;Personal therapeutic services relating to cellulite removal;1.0
Telecommunication services;Computer communications for the transmission of information;1.0
Telecommunication services;Electronic transmission of information (Services for the -);1.0
Human healthcare services;Respite care services in the nature of nursing aid services;1.0
Publishing and reporting;Multimedia publishing of magazines, journals and newspapers;1.0
Publishing and reporting;Publication of online reviews in the field of entertainment;1.0
Publishing and reporting;Writing and publishing of texts, other than publicity texts;1.0
Serving food and drinks;Coffee supply services for offices [provision of beverages];1.0
Laundry preparations;Bleaching preparations and other substances for laundry use;1.0
Vehicle rental;Provision of hired vehicles for the transport of passengers;1.0
Advertising;Preparing promotional and merchandising material for others;1.0
Fertilizers;Growth promoters [other than for medical or veterinary use];1.0
Financial and monetary services;Financial transfers and transactions, and payment services;1.0
Telecommunication services;Communication services for the transmission of information;1.0
Telecommunication services;Remote transmission of data by means of telecommunications;1.0
Publishing and reporting;Publishing of magazines in electronic form on the Internet;1.0
Entertainment services;Master of ceremony services for parties and special events;1.0
Lighting apparatus;Light sources [other than for photographic or medical use];1.0
Finance services;Financial transfers and transactions, and payment services;1.0
Cosmetics;Bleaching preparations [decolorants] for cosmetic purposes;1.0
Production of radio and television programmes;Television and radio programme preparation and production;1.0
Business consultancy and advisory services;Business consultancy services relating to data processing;1.0
Computer programming for the internet;Constructing an internet platform for electronic commerce;1.0
Services for providing food and drink;Restaurant services incorporating licensed bar facilities;1.0
Common metals and their alloys;Common metals unwrought or semiunwrought and their alloys;1.0
Human hygiene and beauty care;Personal therapeutic services relating to fat dissolution;1.0
Building materials of metal;Building and construction materials and elements of metal;1.0
Publishing and reporting;Publication of material on magnetic or optical data media;1.0
Publishing and reporting;Publication of printed matter, other than publicity texts;1.0
Entertainment services;Organization of competitions [education or entertainment];1.0
Travel arrangement;Providing travel information via global computer networks;1.0
Finance services;Financial advisory services relating to assets management;1.0
Ethereal oils;Perfume oils for the manufacture of cosmetic preparations;1.0
Advertising;Advertising services relating to the transport industries;1.0
Advertising;Presentation of companies on the Internet and other media;1.0
Hand tools and implements [hand-operated];Handoperated hand tools for cutting milling and drilling;1.0
Telecommunication services;Electronic transmission of messages (Services for the -);1.0
Telecommunication services;Interactive communications services by means of computer;1.0
Telecommunication services;Telecommunications services for the distribution of data;1.0
Human healthcare services;Services for the planning of weight reduction programmes;1.0
Entertainment services;Entertainment by means of wireless television broadcasts;1.0
Industrial design;Design and development of computer hardware and software;1.0
Investment funds;Financial consultancy relating to real estate investment;1.0
Dental implants;Implant materials [prosthesis] for use in dental surgery;1.0
Teaching;Arranging of competitions for education or entertainment;1.0
Beds;Beds adapted for use by those with mobility difficulties;1.0
Human hygiene and beauty care;Cosmetic treatment services for the body, face and hair;1.0
Human hygiene and beauty care;Personal therapeutic services relating to hair regrowth;1.0
Telecommunication services;Interactive transmission of video over digital networks;1.0
Human healthcare services;Providing information relating to physical examinations;1.0
Human healthcare services;Respite care services in the nature of home nursing aid;1.0
Publishing and reporting;Publication of periodicals and books in electronic form;1.0
Entertainment services;Festivals (Organisation of -) for recreational purposes;1.0
Industrial chemicals;Oils for preparing leather in the course of manufacture;1.0
Business management;Business appraisals and evaluations in business matters;1.0
Investment services;Venture capital and venture capital management services;1.0
Sporting activities;Provision of health club [physical exercise] facilities;1.0
Rice all types;Natural rice [processed] for food for human consumption;1.0
Fertilizers;Seaweed extract for use as a growth stimulant on plants;1.0
Transport;Navigation (positioning, and route and course plotting);1.0
Teaching;Arranging and conducting of inperson educational forums;1.0
Arranging and conducting of symposiums;Arranging and conducting of conferences and congresses;1.0
Preparations made from cereals;Snack foods consisting principally of extruded cereals;1.0
Telecommunication services;Bulletin board services via global information network;1.0
Telecommunication services;Collection and delivery of messages by electronic mail;1.0
Telecommunication services;Electronic transmission of images (Services for the -);1.0
Telecommunication services;Wireless transfer of data via digital mobile telephony;1.0
Transformers [electricity];Apparatus and instruments for transforming electricity;1.0
Human healthcare services;Preparation of reports relating to health care matters;1.0
Office functions services;Updating and maintenance of data in computer databases;1.0
Publishing and reporting;Electronic online publication of periodicals and books;1.0
Publishing and reporting;Publication of books, magazines, almanacs and journals;1.0
Publishing and reporting;Publication of printed matter and printed publications;1.0
Inverters [electricity];Apparatus and instruments for transforming electricity;1.0
Industrial chemicals;Moistening [wetting] preparations for use in bleaching;1.0
Step-up transformers;Apparatus and instruments for transforming electricity;1.0
Photovoltaic cells;Apparatus and instruments for transforming electricity;1.0
Cosmetics;Tissues impregnated with make-up removing preparations;1.0
Coaching;Conducting of educational courses relating to business;1.0
Business consultancy and advisory services;Assistance and advice regarding business organization;1.0
Arranging and conducting of symposiums;Arranging, conducting and organisation of conferences;1.0
Distribution consoles [electricity];Apparatus and instruments for controlling electricity;1.0
Measuring apparatus and instruments;Monitoring apparatus, other than for medical purposes;1.0
Distribution boxes [electricity];Apparatus and instruments for controlling electricity;1.0
Voltage regulators for vehicles;Apparatus and instruments for controlling electricity;1.0
Regulating apparatus, electric;Apparatus and instruments for controlling electricity;1.0
Control panels [electricity];Apparatus and instruments for controlling electricity;1.0
Stage lighting regulators;Apparatus and instruments for controlling electricity;1.0
Switchboxes [electricity];Apparatus and instruments for controlling electricity;1.0
Time switches, automatic;Apparatus and instruments for controlling electricity;1.0
Transistors [electronic];Apparatus and instruments for controlling electricity;1.0
Voltage surge protectors;Apparatus and instruments for controlling electricity;1.0
Electrical controllers;Apparatus and instruments for controlling electricity;1.0
Entertainment services;Arranging and conducting of live entertainment events;1.0
Entertainment services;Game services provided online from a computer network;1.0
Limiters [electricity];Apparatus and instruments for controlling electricity;1.0
Business management;Business management consultancy and advisory services;1.0
Switches, electric;Apparatus and instruments for controlling electricity;1.0
Lighting ballasts;Apparatus and instruments for controlling electricity;1.0
Relays, electric;Apparatus and instruments for controlling electricity;1.0
Switchboards;Apparatus and instruments for controlling electricity;1.0
Telerupters;Apparatus and instruments for controlling electricity;1.0
Fuse wire;Apparatus and instruments for controlling electricity;1.0
Rheostats;Apparatus and instruments for controlling electricity;1.0
Commercial retailing and retailing via global computer networks of foodstuffs;Retail services in relation to agricultural products;1.0
Organization of exhibitions for cultural or educational purposes;Organising of exhibitions for entertainment purposes;1.0
Organization of competitions [education or entertainment];Arranging of competitions for entertainment purposes;1.0
Systematic ordering of data in computer databases;Systemization of information into computer databases;1.0
Business consultancy and advisory services;Business analysis, research and information services;1.0
Arranging and conducting of symposiums;Arrangement of conferences for recreational purposes;1.0
Arranging and conducting of symposiums;Arrangement of conventions for recreational purposes;1.0
Arranging and conducting of symposiums;Arranging, conducting and organisation of congresses;1.0
Arranging and conducting of symposiums;Arranging, conducting and organisation of symposiums;1.0
Grains not included in other classes;Horticultural products not included in other classes;1.0
Light dimmers [regulators], electric;Apparatus and instruments for regulating electricity;1.0
Distribution boards [electricity];Apparatus and instruments for conducting electricity;1.0
Database design and development;Software development, programming and implementation;1.0
Voltage regulators for vehicles;Apparatus and instruments for regulating electricity;1.0
Regulating apparatus, electric;Apparatus and instruments for regulating electricity;1.0
Wire connectors [electricity];Apparatus and instruments for conducting electricity;1.0
Telecommunication services;Communication of data by means of telecommunications;1.0
Office functions services;Systemization of information into computer databases;1.0
Stage lighting regulators;Apparatus and instruments for regulating electricity;1.0
Starter cables for motors;Apparatus and instruments for conducting electricity;1.0
Publishing and reporting;Layout services, other than for advertising purposes;1.0
Publishing and reporting;On-line publication of electronic books and journals;1.0
Publishing and reporting;Publication of texts in the form of electronic media;1.0
Publishing and reporting;Publishing a newspaper for customers on the Internet;1.0
Terminals [electricity];Apparatus and instruments for conducting electricity;1.0
Copper wire, insulated;Apparatus and instruments for conducting electricity;1.0
Entertainment services;Fetes (Organisation of -) for entertainment purposes;1.0
Entertainment services;Presentation of live performances by a musical group;1.0
Polishing preparations;Leather and shoe cleaning and polishing preparations;1.0
Industrial chemicals;Fulling preparations for use in the textile industry;1.0
Medical instruments;Medical instruments for recording physiological data;1.0
Publishing services;On-line publication of electronic books and journals;1.0
Seeds for planting;Horticultural products not included in other classes;1.0
Travel arrangement;Providing information about travel, via the Internet;1.0
Vegetables, fresh;Horticultural products not included in other classes;1.0
Wires, electric;Apparatus and instruments for conducting electricity;1.0
Magnetic wires;Apparatus and instruments for conducting electricity;1.0
Natural plants;Horticultural products not included in other classes;1.0
Polishing wax;Leather and shoe cleaning and polishing preparations;1.0
Fruit, fresh;Horticultural products not included in other classes;1.0
Advertising;Advertising of commercial or residential real estate;1.0
Plant seeds;Horticultural products not included in other classes;1.0
Cosmetics;Impregnated cleaning pads impregnated with cosmetics;1.0
Cosmetics;Slimming aids [cosmetic], other than for medical use;1.0
Shoe wax;Leather and shoe cleaning and polishing preparations;1.0
Teaching;Education services provided by television programmes;1.0
Training;Arranging professional workshop and training courses;1.0
Flowers;Horticultural products not included in other classes;1.0
Tobacco;Tobacco and tobacco products (including substitutes);1.0
Presentation of goods on communication media, for retail purposes;Product demonstrations and product display services;1.0
Arranging subscriptions to telecommunication services for others;Administrative support and data processing services;1.0
Psychological testing for the selection of personnel;Human resources management and recruitment services;1.0
Systemization of information into computer databases;Administrative support and data processing services;1.0
Compilation of information into computer databases;Administrative support and data processing services;1.0
Business management and organization consultancy;Business consultancy services relating to marketing;1.0
Telephone answering for unavailable subscribers;Administrative support and data processing services;1.0
Solenoid valves [electromagnetic switches];Apparatus and instruments for switching electricity;1.0
Arranging and conducting of symposiums;Arranging, conducting and organisation of workshops;1.0
Services for providing food and drink;Corporate hospitality (provision of food and drink);1.0
Services for providing food and drink;Food preparation for others on an outsourcing basis;1.0
Grains not included in other classes;Agricultural products not included in other classes;1.0
Measuring apparatus and instruments;Levels [instruments for determining the horizontal];1.0
Personnel management consultancy;Human resources management and recruitment services;1.0
Education and instruction;Arrangement of conferences for educational purposes;1.0
Publishing and reporting;Publication of printed matter relating to education;1.0
Entertainment services;Fetes (Organisation of -) for recreational purposes;1.0
Patent lawyer services;Provision of information relating to legal services;1.0
Personnel recruitment;Human resources management and recruitment services;1.0
Industrial chemicals;Damp-proofing chemicals, except paints, for masonry;1.0
Industrial chemicals;Moistening [wetting] preparations for use in dyeing;1.0
Secretarial services;Administrative support and data processing services;1.0
Shop window dressing;Product demonstrations and product display services;1.0
Business management;Business management for freelance service providers;1.0
Investment services;Financial planning and investment advisory services;1.0
Seeds for planting;Agricultural products not included in other classes;1.0
Rice, unprocessed;Agricultural products not included in other classes;1.0
Vegetables, fresh;Agricultural products not included in other classes;1.0
Word processing;Administrative support and data processing services;1.0
Natural plants;Agricultural products not included in other classes;1.0
Fruit, fresh;Agricultural products not included in other classes;1.0
Live animals;Agricultural products not included in other classes;1.0
Advertising;Product demonstrations and product display services;1.0
Plant seeds;Agricultural products not included in other classes;1.0
Cosmetics;Cosmetics for use in the treatment of wrinkled skin;1.0
Furniture;Wood surrounds [furniture] for electronic apparatus;1.0
Invoicing;Administrative support and data processing services;1.0
Shorthand;Administrative support and data processing services;1.0
Teaching;Arrangement of conferences for educational purposes;1.0
Teaching;Preparation of educational courses and examinations;1.0
Vehicles;Vehicles for locomotion by land, air, water or rail;1.0
Flowers;Agricultural products not included in other classes;1.0
Typing;Administrative support and data processing services;1.0
Malt;Agricultural products not included in other classes;1.0
Streaming of audio content via a global computer network;Computer aided transmission of messages and images;1.0
Business consultancy and advisory services;Consultancy services regarding business strategies;1.0
Business consultancy and advisory services;Management advice relating to the placing of staff;1.0
Arranging and conducting of symposiums;Arranging, conducting and organisation of seminars;1.0
Services for providing food and drink;Providing food and drink for guests in restaurants;1.0
Services for providing food and drink;Serving of food and drinks in restaurants and bars;1.0
Human hygiene and beauty care;Beauty treatment services especially for eyelashes;1.0
Human hygiene and beauty care;Injectable filler treatments for cosmetic purposes;1.0
Human hygiene and beauty care;Providing information in the field of hair styling;1.0
Telecommunication services;Communications services provided over the Internet;1.0
Telecommunication services;Computer aided transmission of messages and images;1.0
Telecommunication services;Streaming audio and video material on the Internet;1.0
Office functions services;Compilation of information into computer databases;1.0
Serving food and drinks;Providing food and drink for guests in restaurants;1.0
Temporary accommodation;Provision of trade show facilities [accommodation];1.0
Entertainment services;Presentation of live performances by musical bands;1.0
Frameworks of metal;Platform staging of metal for use with scaffolding;1.0
Lighting apparatus;Strings of coloured lights for decorative purposes;1.0
Clerical services;Transcription of communications [office functions];1.0
Data transmission;Computer aided transmission of messages and images;1.0
Stationery;Moisteners for gummed surfaces [office requisites];1.0
Teaching;Instructional services relating to data processing;1.0
Beds;Children's beds made of cloth in the form of a bag;1.0
Apparatus and instruments for regulating electricity;Apparatus, instruments and cables for electricity;1.0
Business consultancy and advisory services;Advisory services relating to personnel placement;1.0
Filling liquids for electronic cigarettes;Liquid solutions for use in electronic cigarettes;1.0
Arranging and conducting of symposiums;Arrangement of seminars for recreational purposes;1.0
Arranging and conducting of symposiums;Arranging and conducting conferences and seminars;1.0
Services for providing food and drink;Club services for the provision of food and drink;1.0
Provision of training and education;Arranging and conducting conferences and seminars;1.0
Preparations made from cereals;Snack food products consisting of cereal products;1.0
Electrical controllers;Apparatus, instruments and cables for electricity;1.0
Entertainment services;Arranging of festivals for entertainment purposes;1.0
Programs for computers;Interactive multimedia software for playing games;1.0
Medical instruments;Electronic monitoring instruments for medical use;1.0
Photovoltaic cells;Photovoltaic apparatus for generating electricity;1.0
Computer software;Application software for cloud computing services;1.0
Finance services;Management services for loan related transactions;1.0
Advertising;Rental of advertising time on communication media;1.0
Transport;Arranging transport services by land, sea and air;1.0
Teaching;Education academy services for teaching languages;1.0
Training;Consultancy relating to physical fitness training;1.0
Organization of sports events with respect to running competitions;Sporting activities relating to running contests;1.0
Game services provided online from a computer network;Services for the operation of computerised bingo;1.0
Sanitary preparations for medical purposes;Cleaning solvents for removing adhesive plasters;1.0
Services for providing food and drink;Arranging of wedding receptions [food and drink];1.0
Services for providing food and drink;Catering for the provision of food and beverages;1.0
Services for providing food and drink;Providing food and drink in restaurants and bars;1.0
Services for providing food and drink;Serving food and drink for guests in restaurants;1.0
Alcoholic beverages (except beer);Aperitifs with a distilled alcoholic liquor base;1.0
Human hygiene and beauty care;Consultancy in the field of body and beauty care;1.0
Pharmaceutical preparations;Medical and veterinary preparations and articles;1.0
Pharmaceutical preparations;Probiotic bacterial formulations for medical use;1.0
Telecommunication services;Telecommunications routing and junction services;1.0
Human healthcare services;Professional consultancy relating to health care;1.0
Publishing and reporting;Multimedia publishing of electronic publications;1.0
Publishing and reporting;Publication of printed matter in electronic form;1.0
Serving food and drinks;Arranging of wedding receptions [food and drink];1.0
Serving food and drinks;Providing food and drink in restaurants and bars;1.0
Serving food and drinks;Serving food and drink for guests in restaurants;1.0
Entertainment services;Arranging and conducting of entertainment events;1.0
Entertainment services;Presentation of live performances by rock groups;1.0
Entertainment services;Theatre and show business entertainment services;1.0
Measuring apparatus;Checking (supervision) apparatus and instruments;1.0
Restaurant services;Arranging of wedding receptions [food and drink];1.0
Restaurant services;Providing food and drink in restaurants and bars;1.0
Restaurant services;Serving food and drink for guests in restaurants;1.0
Recording services;Sound recording and video entertainment services;1.0
Soles for footwear;Embossed soles of rubber or of plastic materials;1.0
Clothing;Gloves including those made of skin, hide or fur;1.0
Teaching;Arranging and conducting educational conferences;1.0
Teaching;Arranging and conducting of workshops [training];1.0
Teaching;Kendo instruction (Japanese fencing instruction);1.0
Training;Arranging and conducting of workshops [training];1.0
Organization of competitions [education or entertainment];Arranging of competitions for training purposes;1.0
Systemization of information into computer databases;Data processing, systematisation and management;1.0
Compilation of information into computer databases;Data processing, systematisation and management;1.0
Production of radio and television programmes;Production of educational television programmes;1.0
Administrative processing of purchase orders;Data processing, systematisation and management;1.0
Business consultancy and advisory services;Advisory services relating to business planning;1.0
Business consultancy and advisory services;Business advice relating to strategic marketing;1.0
Business consultancy and advisory services;Business organization and operation consultancy;1.0
Layout services for advertising purposes;Advertising, marketing and promotional services;1.0
Pastilles for effervescing beverages;Non-alcoholic preparations for making beverages;1.0
Sanitary apparatus and installations;Ultraviolet ray lamps, not for medical purposes;1.0
Dissemination of advertising matter;Advertising, marketing and promotional services;1.0
Powders for effervescing beverages;Non-alcoholic preparations for making beverages;1.0
Extracts of hops for making beer;Non-alcoholic preparations for making beverages;1.0
Updating of advertising material;Advertising, marketing and promotional services;1.0
Production of advertising films;Advertising, marketing and promotional services;1.0
Publication of publicity texts;Advertising, marketing and promotional services;1.0
Adhesives for use in industry;Compositions for repairing inner tubes of tyres;1.0
Human hygiene and beauty care;Body waxing services for hair removal in humans;1.0
Issuing licences for software;Licensing of computer software [legal services];1.0
Publicity columns preparation;Advertising, marketing and promotional services;1.0
Telecommunication information;Providing access to information on the Internet;1.0
Non-alcoholic fruit extracts;Non-alcoholic preparations for making beverages;1.0
Building materials of metal;Structures and transportable buildings of metal;1.0
Booking of seats for shows;Ticket information services for sporting events;1.0
Booking of seats for shows;Ticket procurement services for sporting events;1.0
Sales promotion for others;Advertising, marketing and promotional services;1.0
Telecommunication services;Provision of reports relating to communications;1.0
Transportation information;Providing information relating to car transport;1.0
Writing of publicity texts;Advertising, marketing and promotional services;1.0
Advertising by mail order;Advertising, marketing and promotional services;1.0
Compilation of statistics;Data processing, systematisation and management;1.0
Human healthcare services;Providing information relating to chiropractics;1.0
Publicity material rental;Advertising, marketing and promotional services;1.0
Publishing and reporting;Provision of information relating to publishing;1.0
Direct mail advertising;Advertising, marketing and promotional services;1.0
Distribution of samples;Advertising, marketing and promotional services;1.0
Entertainment services;Presentation of live entertainment performances;1.0
Telemarketing services;Advertising, marketing and promotional services;1.0
Television advertising;Advertising, marketing and promotional services;1.0
Document reproduction;Data processing, systematisation and management;1.0
Photocopying services;Data processing, systematisation and management;1.0
Industrial chemicals;Brickwork preservatives, except paints and oils;1.0
Industrial chemicals;Preservatives for tiles, except paints and oils;1.0
Shop window dressing;Advertising, marketing and promotional services;1.0
